Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Charlize Theron,44.0,South africa,actresses,https://static2.therichestimages.com/wordpress/wp-content/uploads/Charlize-Theron2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,National School of the Arts,110,Graduate,Charlize,female
Rosie O'Donnell,59.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/07/Rosie-ODonnell.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Boston University (drop out),100,Post Graduate,Rosie,female
Cameron Diaz,48.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/04/Cameron-Diaz.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married, Long Beach Polytechnic High School,100,high school,Cameron,male
Kate Winslet,45.0,United kingdom,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/03/kate_winslet1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Redroofs Theatre School,90,Graduate,Kate,female
Sarah Jessica Parker,56.0,United states,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/03/sarah-jessica-parker.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Hollywood High School,Dwight Morrow High School",90,high school,Sarah,female
Salma Hayek,54.0,Others,actresses,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/08/salma-hayek.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Universidad Iberoamericanafg,85,Graduate,Salma,female
Michelle Pfeiffer,62.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Michelle-Pfeiffer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Golden West College, Fountain Valley High School",80,Graduate,Michelle,female
Roseanne Barr,67.0,United states,actresses,https://static3.therichestimages.com/wordpress/wp-content/uploads/Roseanne-Barr.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Syracuse University,80,Post Graduate,Roseanne,female
Reese Witherspoon,45.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/reesewitherspoon300.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Stanford University,80,Post Graduate,Reese,female
Jaclyn Smith,75.0,United states,actresses,https://static1.therichestimages.com/wordpress/wp-content/uploads/Jaclyn_Smith.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married, Trinity University,75,Post Graduate,Jaclyn,female
