Name,age,country,category,image,marital_status,Education,net_worth,Degree,first_name,Gender
Abigail Johnson,59.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/abigailjohnson1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married," Harvard Business School, Hobart and William Smith Colleges, Harvard University, Buckingham Browne & Nichols",17200.0,Graduate,Abigail,female
Anne Cox Chambers,101.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/OR0X.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Bachelor of Arts / Science, Finch College",17000.0,Graduate,Anne,female
Gina Rinehart,67.0,Australia,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/07/gina-rinehart.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"St Hilda's Anglican School for Girls, University of Sydney",16200.0,Post Graduate,Gina,female
Iris Fontbona,53.0,Others,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Iris-Fontbona.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,16000.0,high school,Iris,female
Elaine Tettemer Marshall,82.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2012/10/elaine-marshall_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,15400.0,Post Graduate,Elaine,female
Birgit Rausing,53.0,Others,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/06/Birgit-Rausing.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,12600.0,high school,Birgit,female
The Olayan Family,53.0,Others,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/Lubna_S._Olayan_World_Economic_Forum_2013.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,12000.0,high school,The,female
Pollyanna Chu,53.0,Others,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/09/04_Pollyanna_Chu.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Golden Gate University,11000.0,Post Graduate,Pollyanna,others
Massimiliana Landini Aleotti,53.0,Italy,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2022/03/Tory.png?q=50&fit=crop&w=320&h=160&dpr=1.5 ,married,University of Perugia,10600.0,Post Graduate,Massimiliana,female
Beate Heister,53.0,Germany,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/10/Beate-Heister.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Hurtwood House school,10400.0,Graduate,Beate,female
Tan Siok Tjien,53.0,Others,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2022/02/Ellen-DeGeneres-And-Portia-de-Rossi.jpg?q=50&fit=crop&w=320&h=160&dpr=1.5 ,married,,10200.0,high school,Tan,male
Pamela Mars-Wright,60.0,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2016/09/pamela2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Vassar College,9590.0,Graduate,Pamela,female
Victoria Mars,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2016/09/Victoria-Mars.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,"Yale University, Wharton School of Business",9590.0,Post Graduate,Victoria,female
Blair Parry-Okeden,68.0,Australia,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/02/Blair-Parry-Okeden.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"University of Denver (Bachelor of Arts / Science), High School (La Pietra: Hawaii School for Girls)",9310.0,Post Graduate,Blair,female
Savitri Jindal,71.0,India,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/savitri-jindal.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"BEc/Hansraj College, Jamia Millia Islamia",8260.0,Graduate,Savitri,female
Sandra Ortega Mera,53.0,Spain,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/04/Sandra-Ortega-Mera.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Universidad de Santiago ,7910.0,Graduate,Sandra,female
Shari Arison,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/05/shari-arison_485x340.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Syracuse University,7650.0,Post Graduate,Shari,female
Kirsten Rausing,68.0,Others,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Kirsten-Rausing.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,,7140.0,high school,Kirsten,female
Antonia Johnson,77.0,Others,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Antonia_Johnson_forbes_2011.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Radcliffe College, Stockholm University",6820.0,Graduate,Antonia,female
Vivien Chen,53.0,China,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2017/04/Vivien-Chen.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Shenzhen University,6480.0,Post Graduate,Vivien,female
Margarita Louis-Dreyfus,58.0,France,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/09/margarita-louis-dreyfus.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Moscow State University,6070.0,Post Graduate,Margarita,female
Maria Helena de Moraes,89.0,Brazil,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2017/03/Maria-Helena-de-Moraes.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"The University of Texas at Austin, Universidade Federal do Rio de Janeiro",5950.0,Post Graduate,Maria,female
Eva Gonda de Rivera,53.0,Others,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/02/eva_gonda_buena.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Monterrey Institute of Technology,5910.0,Graduate,Eva,female
Margaretta Taylor,77.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2017/04/Margaretta-Taylor.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,5860.0,Post Graduate,Margaretta,female
Randa Williams,59.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/12/Randa-Williams-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Rice University and University of Houston,5700.0,Post Graduate,Randa,female
Chan Laiwa,53.0,China,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/t100_laiwa.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,High School ,5600.0,high school,Chan,male
Tamara Gustavson,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/IMG_9285tammy-gustavson-rodney-peete-wayne-hughes.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Southern California,5500.0,Post Graduate,Tamara,female
Gwendolyn Sontheim Meyer,53.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/woman-2.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,5500.0,Post Graduate,Gwendolyn,female
Pauline MacMillan Keinath,86.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/woman-21.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,5500.0,Post Graduate,Pauline,female
Dannine Avara,46.0,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Dannine-Avara.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,5200.0,Post Graduate,Dannine,others
Maria-Elisabeth Schaeffler,78.0,Germany,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/04/Maria-Elisabeth-Schaeffler.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Hurtwood House school,5050.0,Graduate,Maria-Elisabeth,others
Magdalena Martullo Blocher,50.0,Switzerland,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2017/03/Magdalena-Martullo-Blocher.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of St. Gallen ,5000.0,Post Graduate,Magdalena,female
Lynn Schusterman,82.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/lynschusterman-052710.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Miami,5000.0,Post Graduate,Lynn,female
Huguette Clark,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/Huguette-Clark-007.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Syracuse University,5000.0,Post Graduate,Huguette,female
Tan Kim Choo,53.0,Others,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2022/03/nina-and-julianne.png?q=50&fit=crop&w=320&h=160&dpr=1.5 ,married,,4970.0,high school,Tan,male
Diane Hendricks,53.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Diane-Hendricks.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Osseo-Fairchild High School,4900.0,high school,Diane,female
Rahel Blocher,53.0,Switzerland,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2017/04/Rahel-Blocher-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of St. Gallen, Switzerland",4900.0,Post Graduate,Rahel,female
Mary Alice Dorrance Malone,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/013Y0AA2Gi94m_1611.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,University of Arizona,4860.0,Post Graduate,Mary,female
Liselott Persson,71.0,Others,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/07/Lottie-Tham.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,4500.0,high school,Liselott,female
Karen Pritzker,53.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/karen.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Northwestern University,4300.0,Post Graduate,Karen,female
Milane Frantz,53.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Miliane-Frantz.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,4200.0,Post Graduate,Milane,others
Carrie Perrodo,53.0,France,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/02/carrie-perrodo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Ecole Polytechnique (Bachelor of Arts & Science),4200.0,Graduate,Carrie,female
Pansy Ho,58.0,China,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/11/Pansy-Ho.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Santa Clara University,4100.0,Post Graduate,Pansy,female
Martha Ingram,85.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/martha-rivers-ingram-2010-american-arts-RoMIx8.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Vassar College,4100.0,Graduate,Martha,female
Gayle Cook,53.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/jr_news_gayle_cook_0422.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Indiana University,4000.0,Post Graduate,Gayle,female
Bob McNair,83.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/09/Bob-McNair.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of South Carolina,3800.0,Post Graduate,Bob,male
Nancy Walton Laurie,69.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/0O2U.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Memphis,3700.0,Post Graduate,Nancy,female
Friede Springer,78.0,Germany,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Friede-Springer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Hurtwood House school,3700.0,Graduate,Friede,female
Ana Lucia de Mattos Barretto Villela,53.0,Brazil,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Ana-Lucia-de-Mattos-Barretto-Villela.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"The University of Texas at Austin, Universidade Federal do Rio de Janeiro",3600.0,Post Graduate,Ana,female
Judy Faulkner,77.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/02/Judy-Faulkner.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Dickinson College,3500.0,Graduate,Judy,female
Ursula Bechtolsheimer,69.0,Germany,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/09/Ursula-Bechtolsheimer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Hurtwood House school,3500.0,Graduate,Ursula,female
Isabel dos Santos,48.0,Others,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/09/isabel-dos-santos.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,King’s College,3500.0,Graduate,Isabel,female
Zhang Xin,55.0,China,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/08/zhang-xin_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Cambridge (1992), University of Sussex",3500.0,Post Graduate,Zhang,female
Karen Davidson,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/pistons-sale-davidsonx-large.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,3500.0,Post Graduate,Karen,female
Suna Kirac,53.0,Others,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/09/suna-kirac2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,2600.0,high school,Suna,female
Anita Zucker,59.0,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/anita-zucker.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married," Master of Arts, University of North Florida; Bachelor of Arts / Science, University of Florida",2600.0,Post Graduate,Anita,female
Philip &amp; Cristina Green,69.0,United kingdom,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2018/08/christina-philip-green-bhs.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Carmel College,2500.0,Graduate,Philip,male
Denise York,53.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/05/Denise-York.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Saint Mary's College,2500.0,Graduate,Denise,female
Inigo &amp; Mercedes Zobel,53.0,Others,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/02/Inigo-and-Mercedes-Zobel.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of the Philippines,2500.0,Post Graduate,Inigo,others
Alicia Koplowitz,66.0,Others,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/alicia-koplowitz1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,,2500.0,high school,Alicia,female
Dulce Pugliese de Godoy Bueno,53.0,Brazil,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/woman-23.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"The University of Texas at Austin, Universidade Federal do Rio de Janeiro",2400.0,Post Graduate,Dulce,female
Alexandra Schorghuber,53.0,Others,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/SUG_Alexandra_Schoerghuber.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,2400.0,high school,Alexandra,female
Doris Fisher,53.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/doris-fisher.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Stanford University,2400.0,Post Graduate,Doris,female
Johnelle Hunt,53.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Johnelle-Hunt.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Central Arkansas,2400.0,Post Graduate,Johnelle,others
Darla Moore,66.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/DarlaMoore.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of South Carolina, George Washington University",2300.0,Post Graduate,Darla,female
Maria de Lourdes Egydio Villela,53.0,Brazil,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Villela.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Pontifical Catholic University of São Paulo (PUC-SP),2200.0,Post Graduate,Maria,female
Esther Grether,53.0,Switzerland,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/DDDerbinnen01.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of St. Gallen ,2200.0,Post Graduate,Esther,female
Sylvia Stroher,53.0,Germany,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/woman-1.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Hurtwood House school,2100.0,Graduate,Sylvia,female
Lynda Resnick,53.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2016/06/Lynda-Resnick.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Harriton High School,2000.0,high school,Lynda,female
Othman Benjelloun,53.0,Others,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/timthumb.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,École Polytechnique Fédérale de Lausanne,2000.0,Graduate,Othman,male
Chu Lam Yiu,53.0,Others,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/7310.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,1900.0,high school,Chu,female
Phoebe Hearst Cooke,93.0,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/1n4UDf.AuSt_.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Syracuse University,1900.0,Post Graduate,Phoebe,female
Jean (Gigi) Pritzker,59.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/jean-pritzker.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Stanford University,1900.0,Post Graduate,Jean,male
Linda Pritzker,53.0,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/05/Linda_Pritzker_aka_Lama_Tsomo_Headshot_2014.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,Syracuse University,1850.0,Post Graduate,Linda,female
Penny Pritzker,53.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/CDNP.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Harvard University, Stanford University, Stanford Law School, Stanford Graduate School of Business, Castilleja School",1850.0,Post Graduate,Penny,female
James Balsillie,60.0,Others,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/9050L-jim-balsillie.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Toronto (BA) and Harvard University (MBA),1800.0,Post Graduate,James,male
Qiaonv He,53.0,China,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/qh2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Beijing Forestry University,1700.0,Post Graduate,Qiaonv,others
Deniz Sahenk,53.0,Others,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/deniz-sahenk_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,1700.0,high school,Deniz,female
Marilyn Carlson Nelson,81.0,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/09/Marilyn-Carlson-Nelson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Institute Des Hautes Etudes Economiques Politiques, Geneva, BA International Economics, Smith College",1690.0,Graduate,Marilyn,female
Jeff Bezos,57.0,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Jeff-Bezos1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,divorced,"Princeton University, River Oaks Elementary School, Miami Palmetto High School",196000.0,Post Graduate,Jeff,male
Bill Gates,65.0,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Bill-Gates2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Dropout, Harvard University",125900.0,Post Graduate,Bill,male
Bernard Arnault,72.0,France,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/03/Bernard-Arnault-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,École Polytechnique,122000.0,Graduate,Bernard,male
Mark Zuckerberg,36.0,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/03/Mark-Zuckerberg-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Harvard University ,101000.0,Post Graduate,Mark,male
Warren Buffett,90.0,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/06/warren-buffet-net-worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"MS Columbia University, BA/BS University of Nebraska Lincoln",100300.0,Post Graduate,Warren,male
Larry Page,48.0,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2021/03/Larry-Page-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Michigan, Stanford University",91800.0,Post Graduate,Larry,male
Larry Ellison,76.0,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/03/Larry-Ellison-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Chicago (1964–1966), University of Illinois at Urbana-Champaign (1962–1964), South Shore High School",91200.0,Post Graduate,Larry,male
Amancio Ortega,84.0,Spain,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/03/Amancio-Ortega-799x1024.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Spain's National Conservatory, Cristina Rota's New York School",82000.0,Graduate,Amancio,male
Carlos Slim,81.0,Others,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/04/Carlos-Slim.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Civil Engineering, Universidad Nacional Autónoma de México",60350.0,Graduate,Carlos,male
Sergey Brin,47.0,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/04/Sergey-Brin-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"University of Maryland, Stanford University",97250.0,Post Graduate,Sergey,male
Michael Bloomberg,79.0,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/Michael-Bloomberg-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,in a relationship,"Johns Hopkins University, Harvard University",59000.0,Post Graduate,Michael,male
David Koch,53.0,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2012/04/David-Koch.jpeg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Massachusetts Institute of Technology (1963), Massachusetts Institute of Technology (1962), Deerfield Academy (1959)",50500.0,Graduate,David,male
Mukesh Ambani,63.0,India,businessmen,https://static0.therichestimages.com/wordpress/wp-content/uploads/Mukesh_Ambani.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Stanford University (drop out), BEng / Institute of Chemical Technology, Mumbai",57000.0,Post Graduate,Mukesh,male
Charles Koch,85.0,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/04/07.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Massachusetts Institute of Technology (MIT),54200.0,Graduate,Charles,male
S. Robson Walton,76.0,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/09/rob-walton-walmart-board-of-directors_130113071447182377.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Columbia Law School (1969), University of Arkansas (1966), Columbia University, The College of Wooster",53500.0,Graduate,S.,others
Jim Walton,72.0,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/09/jim-c_130112233670063533.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,University of Arkansas,53300.0,Post Graduate,Jim,male
Steve Ballmer,65.0,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/06/ballmer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Harvard University (1977), Stanford Graduate School of Business, Harvard College, Stanford University, Lawrence Technological University",53300.0,Graduate,Steve,male
Ingvar Kamprad,95.0,Others,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Ingvar-Kamprad1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Cornell University,52800.0,Post Graduate,Ingvar,male
Liliane Bettencourt,98.0,France,businessmen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2012/06/Liliane-Bettencourt.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Ecole Polytechnique (Bachelor of Arts & Science),42300.0,Graduate,Liliane,female
John Mars,85.0,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/09/John-Franklyn-Mars.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Yale University,41600.0,Post Graduate,John,male
Ma Huateng,49.0,China,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/04/Pony-Ma-2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Shenzhen University,34600.0,Post Graduate,Ma,female
Francois Pinault,84.0,France,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/francois-pinault-10228.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,High School Dropout,33700.0,high school,Francois,others
Phil Knight,83.0,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/10/Phil-Knight.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,"Stanford Graduate School of Business, University of Oregon, Cleveland High School",31900.0,Post Graduate,Phil,male
Sheldon Adelson,87.0,Others,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/09/Sheldon-Adelson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,,31400.0,high school,Sheldon,male
Giovanni Ferrero,55.0,Italy,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2015/10/Giovanni-Ferrero.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,single,European Schools,30300.0,Graduate,Giovanni,male
Hui Ka Yan,53.0,China,businessmen,https://static0.therichestimages.com/wordpress/wp-content/uploads/UploadFile-2013-03-15c1e8dd-d6a5-404b-9acf-7ae7cdd2aaab.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Wuhan University of Science and Technology,30200.0,Post Graduate,Hui,female
Li Ka-shing,92.0,Canada,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Li-Ka-shing.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,McMaster University,27700.0,Post Graduate,Li,female
Gerard Wertheimer,53.0,France,businessmen,https://static0.therichestimages.com/wordpress/wp-content/uploads/44074_alain-et-gerard-wertheimer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,married,Ecole Polytechnique (Bachelor of Arts & Science),27400.0,Graduate,Gerard,male
