Name,age,country,category,image,marital_status,Education,net_worth,Degree
Victoria Mars,N/A,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2016/09/Victoria-Mars.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,"Yale University, Wharton School of Business",$9.59 Billion,Graduate
Blair Parry-Okeden,68,Australia,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/02/Blair-Parry-Okeden.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Simon Parry-Okeden),"University of Denver (Bachelor of Arts / Science), High School (La Pietra: Hawaii School for Girls)",$9.31 Billion,Graduate
Savitri Jindal,71,India,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/savitri-jindal.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (O. P. Jindal),,$8.26 Billion,
Sandra Ortega Mera,N/A,Spain,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/04/Sandra-Ortega-Mera.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,Universidad de Santiago ,$7.91 Billion,Graduate
Shari Arison,N/A,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/05/shari-arison_485x340.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Ofer Glazer),,$7.65 Billion,
Kirsten Rausing,68,N/A,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/05/Kirsten-Rausing.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Single,,$7.14 Billion,
Antonia Johnson,77,N/A,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Antonia_Johnson_forbes_2011.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,"Radcliffe College, Stockholm University",$6.82 Billion,Graduate
Vivien Chen,N/A,China,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2017/04/Vivien-Chen.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced,,$6.48 Billion,
Margarita Louis-Dreyfus,58,France,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/09/margarita-louis-dreyfus.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Robert Louis-Dreyfus),Moscow State University,$6.07 Billion,Graduate
Maria Helena de Moraes,89,Brazil,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2017/03/Maria-Helena-de-Moraes.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Jose Ermirio de Moraes),,$5.95 Billion,
Eva Gonda de Rivera,N/A,N/A,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/02/eva_gonda_buena.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Eugenio Garza Lagüera ),Monterrey Institute of Technology,$5.91 Billion,Graduate
Margaretta Taylor,77,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2017/04/Margaretta-Taylor.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,,$5.86 Billion,
Randa Williams,59,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/12/Randa-Williams-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Charles A. Williams),Rice University and University of Houston,$5.7 Billion,Graduate
Chan Laiwa,N/A,China,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/t100_laiwa.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,High School ,$5.6 Billion,high school
Tamara Gustavson,N/A,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/IMG_9285tammy-gustavson-rodney-peete-wayne-hughes.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,University of Southern California,$5.5 Billion,Graduate
Gwendolyn Sontheim Meyer,N/A,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/woman-2.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,,$5.5 Billion,
Pauline MacMillan Keinath,86,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/woman-21.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,,$5.5 Billion,
Dannine Avara,46,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Dannine-Avara.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,,$5.2 Billion,
Maria-Elisabeth Schaeffler,78,Germany,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2015/04/Maria-Elisabeth-Schaeffler.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Georg Schaeffler),,$5.05 Billion,
Magdalena Martullo Blocher,50,Switzerland,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2017/03/Magdalena-Martullo-Blocher.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married ,University of St. Gallen ,$5 Billion,Graduate
Lynn Schusterman,82,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/lynschusterman-052710.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Charles Schusterman),University of Miami,$5 Billion,Graduate
Huguette Clark,114,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/Huguette-Clark-007.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced,,$5 Billion,
Tan Kim Choo,N/A,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2022/03/nina-and-julianne.png?q=50&fit=crop&w=320&h=160&dpr=1.5 ,Widowed (Ng Teng Fong),,$4.97 Billion,
Diane Hendricks,N/A,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/01/Diane-Hendricks.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Kenneth Hendricks),Osseo-Fairchild High School,$4.9 Billion,high school
Rahel Blocher,N/A,Switzerland,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2017/04/Rahel-Blocher-1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,"University of St. Gallen, Switzerland",$4.9 Billion,Graduate
Mary Alice Dorrance Malone,N/A,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/013Y0AA2Gi94m_1611.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Stuart Malone),University of Arizona,$4.86 Billion,Graduate
Liselott Persson,71,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/07/Lottie-Tham.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Pieter Tham),,$4.5 Billion,
Karen Pritzker,N/A,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/karen.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Michael Vlock),Northwestern University,$4.3 Billion,Graduate
Milane Frantz,N/A,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Miliane-Frantz.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married ,,$4.2 Billion,
Carrie Perrodo,N/A,France,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2015/02/carrie-perrodo.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed ,,$4.2 Billion,
Pansy Ho,58,China,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2018/11/Pansy-Ho.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Julian Hui),Santa Clara University,$4.1 Billion,Graduate
Martha Ingram,85,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/martha-rivers-ingram-2010-american-arts-RoMIx8.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (E. Bronson Ingram),Vassar College,$4.1 Billion,Graduate
Gayle Cook,N/A,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/jr_news_gayle_cook_0422.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widow (William Cooks),Indiana University,$4 Billion,Graduate
Bob McNair,83,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/09/Bob-McNair.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Janice Suber),University of South Carolina,$3.8 Billion,Graduate
Nancy Walton Laurie,69,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/0O2U.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Bill Laurie),University of Memphis,$3.7 Billion,Graduate
Friede Springer,78,Germany,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Friede-Springer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Axel Springer),,$3.7 Billion,
Ana Lucia de Mattos Barretto Villela,N/A,Brazil,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Ana-Lucia-de-Mattos-Barretto-Villela.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,,$3.6 Billion,
Judy Faulkner,77,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/02/Judy-Faulkner.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Dr. Gordon Faulkner),Dickinson College,$3.5 Billion,Graduate
Ursula Bechtolsheimer,69,Germany,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2019/09/Ursula-Bechtolsheimer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Dr. Wilfried Bechtolsheimer),,$3.5 Billion,
Isabel dos Santos,48,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2013/09/isabel-dos-santos.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,King’s College,$3.5 Billion,Graduate
Zhang Xin,55,China,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/08/zhang-xin_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Pan Shiyi),"University of Cambridge (1992), University of Sussex",$3.5 Billion,Graduate
Karen Davidson,N/A,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/pistons-sale-davidsonx-large.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (William Davidson),,$3.5 Billion,
Suna Kirac,N/A,N/A,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2013/09/suna-kirac2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married to Inan Kirac,,$2.6 Billion,
Anita Zucker,59,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/anita-zucker.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Jerry Zucker)," Master of Arts, University of North Florida; Bachelor of Arts / Science, University of Florida",$2.6 Billion,Graduate
Philip &amp; Cristina Green,69,United kingdom,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2018/08/christina-philip-green-bhs.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,Carmel College,$2.5 Billion,Graduate
Denise York,N/A,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2012/05/Denise-York.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (John York),Saint Mary's College,$2.5 Billion,Graduate
Inigo &amp; Mercedes Zobel,N/A,N/A,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2019/02/Inigo-and-Mercedes-Zobel.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Iñigo Zobel - Married (Maricris Cardenas-Zobel) and Mercedes Zobel - Married (Joseph R. McMicking),University of the Philippines,$2.5 Billion,Graduate
Alicia Koplowitz,66,N/A,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/alicia-koplowitz1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced,,$2.5 Billion,
Dulce Pugliese de Godoy Bueno,N/A,Brazil,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/woman-23.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Edson de Godoy Bueno),"The University of Texas at Austin, Universidade Federal do Rio de Janeiro",$2.4 Billion,Graduate
Alexandra Schorghuber,N/A,N/A,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/SUG_Alexandra_Schoerghuber.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed,,$2.4 Billion,
Doris Fisher,N/A,N/A,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/doris-fisher.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed,Stanford University,$2.4 Billion,Graduate
Johnelle Hunt,N/A,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Johnelle-Hunt.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed,University of Central Arkansas,$2.4 Billion,Graduate
Darla Moore,66,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/DarlaMoore.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Richard Rainwater),"University of South Carolina, George Washington University",$2.3 Billion,Graduate
Maria de Lourdes Egydio Villela,N/A,Brazil,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Villela.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced,Pontifical Catholic University of São Paulo (PUC-SP),$2.2 Billion,Graduate
Esther Grether,N/A,Switzerland,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/DDDerbinnen01.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed,,$2.2 Billion,
Sylvia Stroher,N/A,Germany,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/woman-1.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married to Ulrich Fette Stroher,,$2.1 Billion,
Lynda Resnick,N/A,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2016/06/Lynda-Resnick.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Stewart Resnick),Harriton High School,$2 Billion,high school
Othman Benjelloun,N/A,N/A,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/timthumb.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,École Polytechnique Fédérale de Lausanne,$2 Billion,Graduate
Chu Lam Yiu,N/A,N/A,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/7310.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,,$1.9 Billion,
Phoebe Hearst Cooke,93,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/1n4UDf.AuSt_.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,"Widowed (Amory ""Jack"" Cooke)",,$1.9 Billion,
Jean (Gigi) Pritzker,59,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/jean-pritzker.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Michael Pucker),Stanford University,$1.9 Billion,Graduate
Linda Pritzker,N/A,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/05/Linda_Pritzker_aka_Lama_Tsomo_Headshot_2014.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced,,$1.85 Billion,
Penny Pritzker,N/A,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/CDNP.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Bryan Traubert),"Harvard University, Stanford University, Stanford Law School, Stanford Graduate School of Business, Castilleja School",$1.85 Billion,Graduate
James Balsillie,60,N/A,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/9050L-jim-balsillie.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,University of Toronto (BA) and Harvard University (MBA),$1.8 Billion,Graduate
Qiaonv He,N/A,China,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/10/qh2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married to Tang Kai,Beijing Forestry University,$1.7 Billion,Graduate
Deniz Sahenk,N/A,N/A,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/deniz-sahenk_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Ayhan Sahenk),,$1.7 Billion,
Marilyn Carlson Nelson,81,United states,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2019/09/Marilyn-Carlson-Nelson.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Glen Nelson),"Institute Des Hautes Etudes Economiques Politiques, Geneva, BA International Economics, Smith College",$1.69 Billion,Graduate
Jeff Bezos,57,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Jeff-Bezos1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Divorced (Mackenzie Bezos),"Princeton University, River Oaks Elementary School, Miami Palmetto High School",$196 Billion,Graduate
Bill Gates,65,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/Bill-Gates2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Melinda Gates),"Dropout, Harvard University",$125.9 Billion,Graduate
Bernard Arnault,72,France,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/03/Bernard-Arnault-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Hélène Mercier),École Polytechnique,$122 Billion,Graduate
Mark Zuckerberg,36,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/03/Mark-Zuckerberg-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Priscilla Chan),Harvard University ,$101 Billion,Graduate
Warren Buffett,90,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/06/warren-buffet-net-worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Astrid Menks),"MS Columbia University, BA/BS University of Nebraska Lincoln",$100.3 Billion,Graduate
Larry Page,48,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2021/03/Larry-Page-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Lucinda Southworth),"University of Michigan, Stanford University",$91.8 Billion,Graduate
Larry Ellison,76,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/03/Larry-Ellison-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,"University of Chicago (1964–1966), University of Illinois at Urbana-Champaign (1962–1964), South Shore High School",$91.2 Billion,Graduate
Amancio Ortega,84,Spain,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/03/Amancio-Ortega-799x1024.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Flora Pérez),,$82 Billion,
Carlos Slim,81,N/A,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2021/04/Carlos-Slim.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Soumaya Domit Gemayel),"Civil Engineering, Universidad Nacional Autónoma de México",$60.35 Billion,Graduate
Sergey Brin,47,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/04/Sergey-Brin-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Nicole Shanahan),"University of Maryland, Stanford University",$97.25 Billion,Graduate
Michael Bloomberg,79,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2021/03/Michael-Bloomberg-Net-Worth.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Partner (Diana Taylor),"Johns Hopkins University, Harvard University",$59 Billion,Graduate
David Koch,N/A,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2012/04/David-Koch.jpeg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Julia Margaret Flesher),"Massachusetts Institute of Technology (1963), Massachusetts Institute of Technology (1962), Deerfield Academy (1959)",$50.5 Billion,Graduate
Mukesh Ambani,63,India,businessmen,https://static0.therichestimages.com/wordpress/wp-content/uploads/Mukesh_Ambani.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Nita Ambani),"Stanford University (drop out), BEng / Institute of Chemical Technology, Mumbai",$57 Billion,Graduate
Charles Koch,85,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2012/04/07.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Liz Koch),Massachusetts Institute of Technology (MIT),$54.2 Billion,Graduate
S. Robson Walton,76,United states,businessmen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/09/rob-walton-walmart-board-of-directors_130113071447182377.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Melani Lowman-Walton),"Columbia Law School (1969), University of Arkansas (1966), Columbia University, The College of Wooster",$53.5 Billion,Graduate
Jim Walton,72,United states,businessmen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/09/jim-c_130112233670063533.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Lynne McNabb Walton),University of Arkansas,$53.3 Billion,Graduate
Steve Ballmer,65,United states,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2011/06/ballmer.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Connie Snyder),"Harvard University (1977), Stanford Graduate School of Business, Harvard College, Stanford University, Lawrence Technological University",$53.3 Billion,Graduate
Ingvar Kamprad,95,N/A,businessmen,https://static2.therichestimages.com/wordpress/wp-content/uploads/Ingvar-Kamprad1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Margaretha Kamprad),Cornell University,$52.8 Billion,Graduate
